"","ca","dm","ff","uk","jp"
"163",1.0729,2.3321,4.9265,0.573296,267.2
"164",1.0717,2.3207,4.923,0.574053,266.95
"165",1.0732,2.3288,4.8965,0.573329,266.9
"166",1.0817,2.304,4.8795,0.569055,261
"167",1.091,2.3001,4.842,0.567956,257.5
"168",1.1037,2.2635,4.8485,0.563285,252.4
"169",1.1121,2.2624,4.819,0.562303,251.6
"170",1.1058,2.24,4.8685,0.543863,247
"171",1.1133,2.2531,4.86,0.549119,246.9
"172",1.1089,2.251,4.846,0.550237,245.35
"173",1.111,2.228,4.8585,0.549692,240
"174",1.1074,2.2278,4.8395,0.550964,245.7
"175",1.0989,2.172,4.784,0.547795,240.7
"176",1.097,2.1227,4.756,0.540979,240.4
"177",1.0933,2.1247,4.7175,0.531067,240.7
"178",1.0932,2.0625,4.623,0.505306,237
"179",1.1006,2.1155,4.709,0.518618,241.25
"180",1.1001,2.1351,4.758,0.521023,242.1
"181",1.1067,2.108,4.703,0.512952,241.5
"182",1.1085,2.1116,4.74675,0.513057,241.55
"183",1.11,2.106,4.893,0.519696,241.6
"184",1.1135,2.0845,4.8485,0.515652,240.6
"185",1.1162,2.0423,4.8115,0.514245,238.9
"186",1.117,1.992,4.7075,0.51406,238
"187",1.1259,2.008,4.7755,0.516102,235
"188",1.1232,2.0532,4.731,0.524301,233.7
"189",1.1262,2.0431,4.67625,0.526843,230.7
"190",1.1352,2.025,4.6145,0.530279,222.6
"191",1.1405,2.025,4.585,0.535762,219.3
"192",1.1478,2.0122,4.5435,0.532085,218.4
"193",1.1478,2.0422,4.592,0.541888,221.9
"194",1.1343,2.0767,4.6185,0.550479,226.5
"195",1.1277,2.0787,4.6035,0.547196,225.75
"196",1.1196,2.0919,4.6355,0.550449,225.5
"197",1.1105,2.128,4.6865,0.553097,228.3
"198",1.1148,2.1292,4.6735,0.55145,229
"199",1.123,2.1108,4.607,0.548787,223.4
"200",1.1214,2.0906,4.60975,0.548607,221
"201",1.121,2.085,4.589,0.545613,216.9
"202",1.1241,2.0778,4.5825,0.541917,209.5
"203",1.1245,2.0714,4.5285,0.539607,205.3
"204",1.1213,2.0528,4.448,0.53476,200.7
"205",1.1226,2.0573,4.4715,0.531689,202.7
"206",1.1242,2.0615,4.4635,0.529886,201.8
"207",1.1239,2.052,4.4025,0.519697,194.5
"208",1.1395,2.0459,4.37925,0.519669,185.7
"209",1.1362,1.9732,4.3555,0.513611,186.9
"210",1.1381,1.9484,4.236,0.505,183.8
"211",1.139,2.0175,4.4155,0.521458,192.5
"212",1.1505,1.9855,4.354,0.514456,189.7
"213",1.1545,1.9853,4.3485,0.51581,189.4
"214",1.1617,1.9942,4.3715,0.513294,191.8
"215",1.1699,1.9582,4.366,0.504108,190
"216",1.1775,1.9385,4.365,0.506278,189.2
"217",1.1853,1.896,4.2735,0.504159,186.9
"218",1.1854,1.8805,4.281,0.502159,187
"219",1.1822,1.83,4.212,0.500775,182.3
"220",1.1829,1.782,4.1495,0.493949,180.2
"221",1.1658,1.7735,4.2755,0.486263,178.5
"222",1.1728,1.8762,4.273,0.507357,188.5
